Variant	N
PRPF8 (upstream_gene_variant)	18
FAM153CP (non_coding_transcript_exon_variant)	18
LGALS8 (3_prime_UTR_variant)	18
SYCE2 (downstream_gene_variant)	18
FAM153CP (intron_variant)	18
AC073610.2 (intron_variant)	18
RHOH (intron_variant)	18
AL157713.1 (non_coding_transcript_exon_variant)	18
GCDH (intron_variant)	18
APOL6 (3_prime_UTR_variant)	18
CLTC (downstream_gene_variant)	18
ZNF101 (3_prime_UTR_variant)	18
AC002377.1 (intron_variant)	18
MTATP6P1 (upstream_gene_variant)	18
GRK2 (upstream_gene_variant)	18
MTATP8P1 (upstream_gene_variant)	18
STAG2 (intron_variant)	18
MCM7 (downstream_gene_variant)	18
CMAHP (upstream_gene_variant)	18
AL669831.3 (upstream_gene_variant)	18
MTND2P28 (downstream_gene_variant)	18
TMC8 (downstream_gene_variant)	18
AL139815.1 (upstream_gene_variant)	18
IL7R (intron_variant)	18
SUN2 (downstream_gene_variant)	18
GTPBP1 (downstream_gene_variant)	18
AL512428.1 (intron_variant)	18
ITGAL (downstream_gene_variant)	18
HLA-K (non_coding_transcript_exon_variant)	18
OXNAD1 (intron_variant)	18
DOCK8 (non_coding_transcript_exon_variant)	18
FAM153CP (downstream_gene_variant)	18
AP001024.1 (non_coding_transcript_exon_variant)	18
ZNF28 (downstream_gene_variant)	17
AC092794.1 (upstream_gene_variant)	17
HSPA8P1 (non_coding_transcript_exon_variant)	17
COX4I1 (non_coding_transcript_exon_variant)	17
ESYT1 (upstream_gene_variant)	17
NUP88 (downstream_gene_variant)	17
AC092821.4 (downstream_gene_variant)	17
DGCR2 (non_coding_transcript_exon_variant)	17
IL7R (upstream_gene_variant)	17
AC001226.2 (intron_variant)	17
AC022137.3 (intron_variant)	17
AC022137.4 (intron_variant)	17
BCR (downstream_gene_variant)	17
GNG2 (downstream_gene_variant)	17
DTYMK (downstream_gene_variant)	17
HLA-DRB1 (synonymous_variant)	17
FAM118A (downstream_gene_variant)	17
RBMS1P1 (non_coding_transcript_exon_variant)	17
ZNF83 (intron_variant)	17
CELF2 (intron_variant)	17
MTND4P12 (downstream_gene_variant)	17
TACC3 (upstream_gene_variant)	17
MATR3 (downstream_gene_variant)	17
STAU1 (intron_variant)	17
DSE (non_coding_transcript_exon_variant)	17
STK4 (3_prime_UTR_variant)	17
CTSS (intron_variant)	17
TMC6 (upstream_gene_variant)	17
HORMAD2-AS1 (intron_variant)	17
STK38 (intron_variant)	17
TC2N (intron_variant)	17
SMCO4 (intron_variant)	17
TPP1 (downstream_gene_variant)	17
ZNF90 (downstream_gene_variant)	17
AC011447.3 (non_coding_transcript_exon_variant)	17
ZNF90 (non_coding_transcript_exon_variant)	17
ZNF90 (3_prime_UTR_variant)	17
EPB41 (upstream_gene_variant)	17
UBE2I (downstream_gene_variant)	17
AC011447.3 (downstream_gene_variant)	17
KCNAB1 (downstream_gene_variant)	17
CAPN1 (upstream_gene_variant)	17
ZNF101 (downstream_gene_variant)	17
ZNF101 (intron_variant)	17
SSR3 (downstream_gene_variant)	17
PARP4 (missense_variant)	17
LINC00886 (intron_variant)	17
PA2G4P4 (non_coding_transcript_exon_variant)	17
SPTAN1 (downstream_gene_variant)	17
ERAP1 (intron_variant)	17
KRAS (3_prime_UTR_variant)	17
TAP1 (upstream_gene_variant)	17
ANXA2P2 (non_coding_transcript_exon_variant)	17
PNKD (intron_variant)	17
AC016582.2 (non_coding_transcript_exon_variant)	17
AC079447.1 (intron_variant)	17
RNF125 (3_prime_UTR_variant)	17
AC090983.2 (intron_variant)	17
WWP2 (upstream_gene_variant)	17
ARMH4 (intron_variant)	17
WIPF1 (downstream_gene_variant)	17
MT-TV (upstream_gene_variant)	16
AC022167.2 (intron_variant)	16
CYFIP2 (upstream_gene_variant)	16
GCDH (upstream_gene_variant)	16
TPRG1 (intron_variant)	16
MT-TC (downstream_gene_variant)	16
LRRFIP2 (intron_variant)	16
TRAF3IP3 (upstream_gene_variant)	16
IL12A-AS1 (intron_variant)	16
F11R (downstream_gene_variant)	16
PTMAP5 (non_coding_transcript_exon_variant)	16
AL591806.4 (downstream_gene_variant)	16
RIC8A (upstream_gene_variant)	16
NLRP1 (non_coding_transcript_exon_variant)	16
HLA-DQB1 (missense_variant)	16
BRD7P2 (non_coding_transcript_exon_variant)	16
BUD23 (upstream_gene_variant)	16
SSR3 (3_prime_UTR_variant)	16
MVD (downstream_gene_variant)	16
SPTAN1 (upstream_gene_variant)	16
MAN2B1 (upstream_gene_variant)	16
KIAA0930 (downstream_gene_variant)	16
LIMS1 (downstream_gene_variant)	16
AL512506.3 (intron_variant)	16
TRAF3IP3 (intron_variant)	16
RSL1D1 (downstream_gene_variant)	16
PREX1 (non_coding_transcript_exon_variant)	16
MT-TY (downstream_gene_variant)	16
ATG4B (non_coding_transcript_exon_variant)	16
ITSN2 (intron_variant)	16
IL7R (3_prime_UTR_variant)	16
DGKZP1 (non_coding_transcript_exon_variant)	16
MT-CO1 (upstream_gene_variant)	16
SRP19 (downstream_gene_variant)	16
NRAD1 (intron_variant)	16
SYNRG (downstream_gene_variant)	16
LBR (upstream_gene_variant)	16
RBBP4 (downstream_gene_variant)	16
MT-RNR2 (upstream_gene_variant)	16
BCR (non_coding_transcript_exon_variant)	16
LINC01550 (intron_variant)	16
HDLBP (upstream_gene_variant)	16
AL078581.1 (upstream_gene_variant)	16
AC090602.1 (downstream_gene_variant)	16
GNAS (intron_variant)	16
ACTBP11 (non_coding_transcript_exon_variant)	16
PRRC1 (3_prime_UTR_variant)	16
RPL5P34 (non_coding_transcript_exon_variant)	16
ARHGEF3 (3_prime_UTR_variant)	16
RLIM (3_prime_UTR_variant)	16
MT-ATP8 (downstream_gene_variant)	16
TMEM170A (3_prime_UTR_variant)	16
DDX3X (upstream_gene_variant)	16
ARPC2 (downstream_gene_variant)	16
TMBIM1 (downstream_gene_variant)	16
MT-TK (downstream_gene_variant)	16
LINC00667 (intron_variant)	16
LINC00667 (downstream_gene_variant)	16
ITGAL (upstream_gene_variant)	16
ADA2 (non_coding_transcript_exon_variant)	16
WWP2 (downstream_gene_variant)	16
ADA2 (downstream_gene_variant)	16
ITGAL (intron_variant)	16
MT-CO2 (downstream_gene_variant)	16
IFNGR2 (intron_variant)	16
PTPRC (upstream_gene_variant)	16
RANP1 (non_coding_transcript_exon_variant)	16
ANKRD10 (downstream_gene_variant)	16
JAK1 (intron_variant)	16
HLA-J (intron_variant)	16
POLR2A (upstream_gene_variant)	16
HEATR1 (downstream_gene_variant)	16
GDI2P2 (non_coding_transcript_exon_variant)	16
AC093162.3 (downstream_gene_variant)	16
AC020904.2 (non_coding_transcript_exon_variant)	16
PGK1 (downstream_gene_variant)	16
AC011447.1 (non_coding_transcript_exon_variant)	16
AL359921.1 (intron_variant)	16
NEGR1 (intron_variant)	16
CMAHP (intron_variant)	16
CYTH1 (intron_variant)	16
GRAMD1B (intron_variant)	16
AC046176.1 (non_coding_transcript_exon_variant)	16
KDM4C (intron_variant)	16
AKAP13 (3_prime_UTR_variant)	16
CCDC84 (downstream_gene_variant)	16
NIBAN1 (intron_variant)	16
PTK2B (downstream_gene_variant)	16
SNHG16 (non_coding_transcript_exon_variant)	16
APBB1IP (intron_variant)	16
HCP5 (intron_variant)	16
NCAPH2 (downstream_gene_variant)	16
AC136632.1 (non_coding_transcript_exon_variant)	16
CRYBG2 (downstream_gene_variant)	16
GBP4 (3_prime_UTR_variant)	16
AC021087.5 (non_coding_transcript_exon_variant)	16
CARD8-AS1 (non_coding_transcript_exon_variant)	16
TMEM170A (downstream_gene_variant)	16
NOP53 (upstream_gene_variant)	16
EIF4BP6 (non_coding_transcript_exon_variant)	16
CARD8 (non_coding_transcript_exon_variant)	16
TYMP (downstream_gene_variant)	16
AC092718.8 (intron_variant)	16
AL671883.2 (non_coding_transcript_exon_variant)	16
AL031727.1 (non_coding_transcript_exon_variant)	15
MAX (intron_variant)	15
RSF1 (intron_variant)	15
HLA-DPA1 (missense_variant)	15
DEC1 (intron_variant)	15
ANXA6 (intron_variant)	15
MT-ATP6 (downstream_gene_variant)	15
CLCN3P1 (intron_variant)	15
ZBTB25 (intron_variant)	15
AC016582.2 (intron_variant)	15
AL450998.1 (non_coding_transcript_exon_variant)	15
SF3A3P2 (non_coding_transcript_exon_variant)	15
AC246787.1 (non_coding_transcript_exon_variant)	15
ILK (downstream_gene_variant)	15
MT-ND6 (downstream_gene_variant)	15
CTSB (upstream_gene_variant)	15
AL592293.2 (non_coding_transcript_exon_variant)	15
RPL5P1 (non_coding_transcript_exon_variant)	15
SIPA1 (downstream_gene_variant)	15
CD6 (non_coding_transcript_exon_variant)	15
CTSB (non_coding_transcript_exon_variant)	15
AL078581.4 (upstream_gene_variant)	15
TAP1 (intron_variant)	15
GRAMD1B (downstream_gene_variant)	15
AC011468.2 (intron_variant)	15
EEF1A1P9 (non_coding_transcript_exon_variant)	15
AEBP2 (intron_variant)	15
AC092045.1 (non_coding_transcript_exon_variant)	15
KRAS (downstream_gene_variant)	15
SARAF (downstream_gene_variant)	15
TRMT2B (3_prime_UTR_variant)	15
SARAF (intron_variant)	15
SARAF (upstream_gene_variant)	15
PCSK7 (downstream_gene_variant)	15
ARPC2 (intron_variant)	15
RNF141 (downstream_gene_variant)	15
RIPOR2 (3_prime_UTR_variant)	15
HLA-U (upstream_gene_variant)	15
SMOC1 (intron_variant)	15
TMC6 (downstream_gene_variant)	15
AC124068.1 (non_coding_transcript_exon_variant)	15
DNAH1 (intron_variant)	15
CTSS (3_prime_UTR_variant)	15
SRP19 (3_prime_UTR_variant)	15
BIN2P1 (non_coding_transcript_exon_variant)	15
CPB2-AS1 (intron_variant)	15
FYN (intron_variant)	15
FRAS1 (intron_variant)	15
CERK (3_prime_UTR_variant)	15
CTNS (downstream_gene_variant)	15
CTSS (downstream_gene_variant)	15
SNORD1B (downstream_gene_variant)	15
ST6GALNAC2 (downstream_gene_variant)	15
SNHG16 (downstream_gene_variant)	15
CHMP7 (upstream_gene_variant)	15
PTP4A2 (upstream_gene_variant)	15
LARS1 (downstream_gene_variant)	15
MXD3 (downstream_gene_variant)	15
PSMB8-AS1 (downstream_gene_variant)	15
GLUD2 (missense_variant)	15
CPEB3 (intron_variant)	15
EIF2S3B (synonymous_variant)	15
EIF3B (upstream_gene_variant)	15
ZNF354C (3_prime_UTR_variant)	15
AL031282.1 (downstream_gene_variant)	15
USP3-AS1 (intron_variant)	15
HCG27 (upstream_gene_variant)	15
RBAK-RBAKDN (intron_variant)	15
NMT1 (downstream_gene_variant)	15
TAGLN2P1 (non_coding_transcript_exon_variant)	15
HLA-DQA1 (3_prime_UTR_variant)	15
PPT1 (downstream_gene_variant)	15
TMEM259 (non_coding_transcript_exon_variant)	15
AP005263.1 (intron_variant)	15
GRIN3B (downstream_gene_variant)	15
PABPC3 (synonymous_variant)	15
CCT2 (downstream_gene_variant)	15
AC006369.1 (intron_variant)	15
RAB29 (downstream_gene_variant)	15
ASAH2 (intron_variant)	15
AC025171.1 (intron_variant)	15
IL4R (downstream_gene_variant)	15
JAK1 (non_coding_transcript_exon_variant)	15
TG (intron_variant)	15
CANX (downstream_gene_variant)	15
NPC1 (downstream_gene_variant)	15
COA1 (intron_variant)	15
USP3 (downstream_gene_variant)	15
AC091180.6 (intron_variant)	15
CANX (upstream_gene_variant)	15
LCP2 (downstream_gene_variant)	15
RFTN1 (intron_variant)	15
SRSF10 (downstream_gene_variant)	15
UBE2I (intron_variant)	15
AP002414.4 (non_coding_transcript_exon_variant)	15
PRRC1 (downstream_gene_variant)	15
PRPF8 (downstream_gene_variant)	15
SUPT5H (downstream_gene_variant)	15
DDOST (downstream_gene_variant)	15
MON1B (downstream_gene_variant)	15
FLNA (upstream_gene_variant)	15
NUCB2 (intron_variant)	15
EFHC1 (intron_variant)	15
PSMB9 (upstream_gene_variant)	15
SETDB1 (downstream_gene_variant)	15
BCAS4 (intron_variant)	15
C19orf53 (upstream_gene_variant)	15
RBM39 (upstream_gene_variant)	15
SUCLG2P2 (non_coding_transcript_exon_variant)	15
UBE2I (upstream_gene_variant)	15
NCAPD2 (downstream_gene_variant)	15
AL359736.1 (intron_variant)	15
SOD2 (non_coding_transcript_exon_variant)	15
AC011558.1 (downstream_gene_variant)	15
PPIA (intron_variant)	15
FUT11 (downstream_gene_variant)	14
NDE1 (downstream_gene_variant)	14
AL645939.2 (upstream_gene_variant)	14
MXD3 (intron_variant)	14
MT-TT (downstream_gene_variant)	14
PRELID1 (non_coding_transcript_exon_variant)	14
TRAJ33 (upstream_gene_variant)	14
BTN3A1 (3_prime_UTR_variant)	14
IARS2 (downstream_gene_variant)	14
MTCO2P12 (upstream_gene_variant)	14
RAB24 (upstream_gene_variant)	14
SLIRP (intron_variant)	14
MT-CYB (downstream_gene_variant)	14
