Variant	N
ZKSCAN7-AS1 (intron_variant)	53
OVOL2 (intron_variant)	53
SNHG14 (non_coding_transcript_exon_variant)	53
TBCA (intron_variant)	53
MTND3P25 (downstream_gene_variant)	53
WIPF1 (intron_variant)	53
ZNF737 (downstream_gene_variant)	53
ZNF544 (intron_variant)	53
POLRMTP1 (non_coding_transcript_exon_variant)	53
AL669831.3 (intron_variant)	53
AC087633.2 (intron_variant)	52
TMEM131L (intron_variant)	52
RESF1-AC016957.2 (intergenic_region)	52
SNRPD3 (intron_variant)	52
CRBN (downstream_gene_variant)	52
AC007238.1 (non_coding_transcript_exon_variant)	52
MPHOSPH9 (intron_variant)	52
SEMA4D (intron_variant)	52
UBE3C (intron_variant)	52
ELF1 (intron_variant)	52
EVL (downstream_gene_variant)	52
RNF125 (downstream_gene_variant)	52
SLC35E2A (intron_variant)	52
XRCC6P2 (non_coding_transcript_exon_variant)	51
TTC3 (intron_variant)	51
AC097713.1 (intron_variant)	51
AC011447.3 (intron_variant)	51
MAML2 (intron_variant)	51
TRAPPC13 (downstream_gene_variant)	51
AC022137.3 (intron_variant)	51
EFHC1 (intron_variant)	51
INPP4B (intron_variant)	51
AC010149.1 (intron_variant)	51
MIR6891 (upstream_gene_variant)	51
ARHGAP25 (intron_variant)	51
GCFC2 (intron_variant)	51
CYFIP2 (intron_variant)	51
PIPSL (non_coding_transcript_exon_variant)	51
HCP5 (non_coding_transcript_exon_variant)	51
ATM (upstream_gene_variant)	51
AC087633.2 (non_coding_transcript_exon_variant)	51
AC093423.3 (intron_variant)	50
EPB41 (intron_variant)	50
AL671883.2 (upstream_gene_variant)	50
NDE1 (intron_variant)	50
UBE2F-SCLY (intron_variant)	50
MRI1 (3_prime_UTR_variant)	50
AC025171.1 (intron_variant)	50
ELMO1 (intron_variant)	50
NLRC5 (intron_variant)	50
NLRC5 (upstream_gene_variant)	50
SPG7 (intron_variant)	50
HAGH (intron_variant)	50
SAMHD1 (downstream_gene_variant)	50
PABPC1P4 (non_coding_transcript_exon_variant)	50
CAST (downstream_gene_variant)	50
AC025283.2 (intron_variant)	50
ZNF568 (intron_variant)	50
CLN5 (upstream_gene_variant)	50
GCC2 (intron_variant)	50
ZNF737 (intron_variant)	50
FUT11 (downstream_gene_variant)	50
AC087633.2 (upstream_gene_variant)	49
AL031282.1 (intron_variant)	49
FTX (non_coding_transcript_exon_variant)	49
STK17B (intron_variant)	49
CARS2 (downstream_gene_variant)	49
PDE3B (intron_variant)	49
LINC00649 (intron_variant)	49
AC005258.1 (intron_variant)	49
NDE1 (downstream_gene_variant)	49
LDHB (intron_variant)	49
FMO5 (downstream_gene_variant)	49
AC068587.4 (intron_variant)	49
HCG27 (upstream_gene_variant)	49
CARD8 (downstream_gene_variant)	49
MUC20-OT1 (non_coding_transcript_exon_variant)	49
HCG17 (intron_variant)	48
AC010186.2 (downstream_gene_variant)	48
TGFBR2 (intron_variant)	48
ZNF101 (downstream_gene_variant)	48
CCND3 (intron_variant)	48
AC091132.4-DND1P1 (intergenic_region)	48
ST6GAL1 (intron_variant)	48
ARID4B (intron_variant)	48
AC023055.1 (intron_variant)	48
ZNF101 (3_prime_UTR_variant)	48
HSP90B2P (non_coding_transcript_exon_variant)	48
CLEC2D (intron_variant)	48
RORA-AS1 (intron_variant)	48
LINC-PINT (intron_variant)	48
UBE2I (intron_variant)	48
HSPA9P1 (non_coding_transcript_exon_variant)	48
ENOSF1 (intron_variant)	48
ABHD15-AS1 (intron_variant)	48
LINC01891 (intron_variant)	47
CD44 (intron_variant)	47
AC010186.4 (downstream_gene_variant)	47
ZNF573 (downstream_gene_variant)	47
MCPH1 (intron_variant)	47
C1orf112 (intron_variant)	47
TNRC6B (intron_variant)	47
AL359736.1 (intron_variant)	47
AC092329.3 (intron_variant)	47
PRH1 (intron_variant)	47
PRKCH (upstream_gene_variant)	47
TACC3 (intron_variant)	47
AC010422.6 (intron_variant)	47
HLA-J (intron_variant)	47
MYH9 (intron_variant)	47
SYNRG (downstream_gene_variant)	47
AC008670.1 (upstream_gene_variant)	47
MTND4LP30 (downstream_gene_variant)	47
SRPK2 (intron_variant)	47
WIPF1 (downstream_gene_variant)	47
RASA3 (intron_variant)	47
ZNRD1ASP (downstream_gene_variant)	47
PCAT1 (intron_variant)	47
CARD8 (upstream_gene_variant)	46
ZNF573 (intron_variant)	46
SNRPD3 (3_prime_UTR_variant)	46
NBL1 (intron_variant)	46
MRPL19 (intron_variant)	46
CRBN (intron_variant)	46
MICOS10-NBL1 (intron_variant)	46
AC022137.4 (intron_variant)	46
AL596087.2 (intron_variant)	46
MISP3 (upstream_gene_variant)	46
OGA (intron_variant)	46
METTL22 (intron_variant)	46
AC244502.1 (intron_variant)	46
TACC3 (upstream_gene_variant)	46
USP3 (intron_variant)	46
SMCHD1 (intron_variant)	46
MVB12A (intron_variant)	46
SNX5 (upstream_gene_variant)	46
TMEM201-PIK3CD (intergenic_region)	46
VOPP1 (intron_variant)	46
MIR1199 (upstream_gene_variant)	46
RESF1 (intron_variant)	46
CTSS (intron_variant)	46
ZNF611 (downstream_gene_variant)	46
OIP5-AS1 (intron_variant)	46
TRNT1 (downstream_gene_variant)	45
STK10 (upstream_gene_variant)	45
CAPZB (intron_variant)	45
THEM4 (downstream_gene_variant)	45
RNF125 (3_prime_UTR_variant)	45
CTSS (3_prime_UTR_variant)	45
USP8P1 (downstream_gene_variant)	45
MTCYBP18 (upstream_gene_variant)	45
IRF1 (downstream_gene_variant)	45
LINC00894 (intron_variant)	45
C11orf65 (intron_variant)	45
LMF1 (intron_variant)	45
SEPTIN9 (upstream_gene_variant)	45
SDHAP1 (intron_variant)	45
GNL3L (3_prime_UTR_variant)	45
SP100 (downstream_gene_variant)	45
ZNF485 (upstream_gene_variant)	45
BX322650.1 (non_coding_transcript_exon_variant)	45
DPYD (intron_variant)	45
ZNF587 (downstream_gene_variant)	45
APOL6 (3_prime_UTR_variant)	45
ATP10A (intron_variant)	45
NUP43 (downstream_gene_variant)	45
AKAP13 (upstream_gene_variant)	44
SEPTIN6 (intron_variant)	44
SLC35G1 (downstream_gene_variant)	44
SDHA (downstream_gene_variant)	44
STAG3L2 (intron_variant)	44
SOD2 (intron_variant)	44
PPHLN1 (intron_variant)	44
RRP36 (upstream_gene_variant)	44
AC018630.2 (intron_variant)	44
FTX (downstream_gene_variant)	44
MTFR1 (intron_variant)	44
FAM118A (downstream_gene_variant)	44
UBE2I (downstream_gene_variant)	44
AC010326.3 (intron_variant)	44
LINC00886 (intron_variant)	44
SPG7 (downstream_gene_variant)	44
LINS1 (downstream_gene_variant)	44
ANXA6 (intron_variant)	44
AL662844.3 (downstream_gene_variant)	44
AP005263.1 (intron_variant)	44
RPL3P7 (non_coding_transcript_exon_variant)	44
TCHP (intron_variant)	44
HLA-B (downstream_gene_variant)	44
HSP90AB3P (non_coding_transcript_exon_variant)	44
THUMPD3-AS1 (intron_variant)	44
HLA-F (intron_variant)	44
CD55 (intron_variant)	44
NOP14-AS1 (intron_variant)	44
RPL3P2 (non_coding_transcript_exon_variant)	44
GRAMD1B (intron_variant)	44
EML4 (intron_variant)	44
SPN (upstream_gene_variant)	43
LITAF (intron_variant)	43
ZKSCAN7 (intron_variant)	43
KMT2C (intron_variant)	43
FDFT1 (intron_variant)	43
SHLD1 (intron_variant)	43
LINC00243 (downstream_gene_variant)	43
SP100 (intron_variant)	43
DEAF1 (intron_variant)	43
CAST (intron_variant)	43
POC1B (intron_variant)	43
ZNF701 (downstream_gene_variant)	43
OIP5-AS1 (downstream_gene_variant)	43
AL121845.3 (intron_variant)	43
TAF15 (intron_variant)	43
AL390957.1 (intron_variant)	43
IFNGR2 (intron_variant)	43
FPGS (upstream_gene_variant)	43
PGPEP1 (intron_variant)	43
MBP (intron_variant)	43
LY9 (intron_variant)	43
AC058822.1 (intron_variant)	43
AL596087.1 (non_coding_transcript_exon_variant)	43
AC008686.1 (intron_variant)	43
ANAPC5 (upstream_gene_variant)	43
CFLAR (downstream_gene_variant)	43
TAS2R14 (intron_variant)	42
MICOS10 (intron_variant)	42
SORL1 (intron_variant)	42
IL7R (intron_variant)	42
BNIP2 (intron_variant)	42
LRCH3 (downstream_gene_variant)	42
DDOST (downstream_gene_variant)	42
LINC00910 (intron_variant)	42
AEBP2 (intron_variant)	42
TRIM5 (intron_variant)	42
INPP5D (intron_variant)	42
COG8 (downstream_gene_variant)	42
STK17B (downstream_gene_variant)	42
MARCHF7 (intron_variant)	42
SYNRG (intron_variant)	42
GVINP1 (downstream_gene_variant)	42
LDHB (upstream_gene_variant)	42
ANKDD1A (downstream_gene_variant)	42
SNRPN (intron_variant)	42
ZGPAT (upstream_gene_variant)	42
AL121845.3 (upstream_gene_variant)	42
TAF8 (downstream_gene_variant)	42
GLG1 (downstream_gene_variant)	42
GNRHR2 (downstream_gene_variant)	42
SLC35E2A (3_prime_UTR_variant)	42
AC012309.1 (intron_variant)	42
C11orf80 (intron_variant)	42
CTSS (downstream_gene_variant)	42
CTSC (intron_variant)	42
FANCA (downstream_gene_variant)	42
SPG7 (upstream_gene_variant)	42
HNRNPKP4 (non_coding_transcript_exon_variant)	42
PRKCQ (intron_variant)	42
TMOD3 (intron_variant)	41
RSRP1 (intron_variant)	41
STT3A (upstream_gene_variant)	41
SNORD107 (downstream_gene_variant)	41
TMEM170A (downstream_gene_variant)	41
MPHOSPH9 (upstream_gene_variant)	41
PFKP (intron_variant)	41
FUT11 (intron_variant)	41
AC016957.2 (upstream_gene_variant)	41
EEF1D (upstream_gene_variant)	41
LINC02210-CRHR1 (intron_variant)	41
ZNF626 (3_prime_UTR_variant)	41
CHD2 (upstream_gene_variant)	41
MDM4 (3_prime_UTR_variant)	41
SNRPN (downstream_gene_variant)	41
SDHA (intron_variant)	41
SGTB (3_prime_UTR_variant)	41
AC019205.1 (intron_variant)	41
NLRC5 (downstream_gene_variant)	41
RAB11FIP4 (downstream_gene_variant)	41
PCM1 (intron_variant)	41
AC008764.1 (intron_variant)	41
SNORD108 (upstream_gene_variant)	41
AP000311.1 (intron_variant)	41
NOM1 (downstream_gene_variant)	41
PTK2B (downstream_gene_variant)	41
HLA-J (non_coding_transcript_exon_variant)	41
RN7SL732P (upstream_gene_variant)	41
DHX9P1 (non_coding_transcript_exon_variant)	41
ANKDD1A (intron_variant)	41
CCDC84 (intron_variant)	41
GRAMD1B (downstream_gene_variant)	41
BCAS4 (3_prime_UTR_variant)	41
AC091810.1 (downstream_gene_variant)	41
CCDC84 (upstream_gene_variant)	41
ERAP1 (intron_variant)	41
NOB1 (upstream_gene_variant)	41
LHFPL3 (intron_variant)	41
UBE2D3 (intron_variant)	41
NAGLU (upstream_gene_variant)	41
TNFAIP8 (intron_variant)	41
PHAX (downstream_gene_variant)	41
TCF12 (intron_variant)	40
NUP88 (intron_variant)	40
AL671277.2 (upstream_gene_variant)	40
HAGH (downstream_gene_variant)	40
METTL16 (intron_variant)	40
AC034193.1 (intron_variant)	40
LIX1L-AS1 (upstream_gene_variant)	40
ANAPC16 (downstream_gene_variant)	40
SHISAL2A-COA7 (intergenic_region)	40
SERINC5 (intron_variant)	40
PRKCH (downstream_gene_variant)	40
FCHO1 (upstream_gene_variant)	40
TMC8 (downstream_gene_variant)	40
ITSN2 (intron_variant)	40
RPAIN (downstream_gene_variant)	40
TMC6 (upstream_gene_variant)	40
SLC22A23 (downstream_gene_variant)	40
CDC14A (intron_variant)	40
RDH13 (downstream_gene_variant)	40
CASTOR3 (intron_variant)	40
ZNF815P-RN7SL556P (intergenic_region)	40
ANKLE2 (downstream_gene_variant)	40
SNX5 (intron_variant)	40
NT5C2 (intron_variant)	40
TEF-AL008582.1 (intergenic_region)	40
AC022558.2 (intron_variant)	40
N4BP2L2 (intron_variant)	40
PPP4R3A (intron_variant)	40
ZBTB25 (intron_variant)	40
SLFN12L (intron_variant)	40
MSNP1 (non_coding_transcript_exon_variant)	40
BRCA1 (intron_variant)	40
STAT1 (downstream_gene_variant)	40
CDC42 (intron_variant)	40
SLC35E2B (downstream_gene_variant)	39
RNF111 (intron_variant)	39
HSP90B1 (intron_variant)	39
SDR39U1 (downstream_gene_variant)	39
LINS1 (intron_variant)	39
COG8 (intron_variant)	39
AC099513.1 (downstream_gene_variant)	39
ITGAL (intron_variant)	39
MYO9B (intron_variant)	39
CHD2 (downstream_gene_variant)	39
AC013717.1 (intron_variant)	39
DRG1 (intron_variant)	39
PHAX (3_prime_UTR_variant)	39
MFSD4B (intron_variant)	39
HSP90AA2P (non_coding_transcript_exon_variant)	39
EIF3M (downstream_gene_variant)	39
IKZF1 (intron_variant)	39
AP4S1 (intron_variant)	39
CLEC2D (upstream_gene_variant)	39
CASK (intron_variant)	39
IST1 (intron_variant)	39
PAFAH1B1 (intron_variant)	39
AC019205.1 (non_coding_transcript_exon_variant)	39
TESPA1 (intron_variant)	39
AC009487.2 (non_coding_transcript_exon_variant)	39
LINC02210 (intron_variant)	39
AC005670.2 (intron_variant)	39
HCG4B (upstream_gene_variant)	39
MYH9 (downstream_gene_variant)	39
PSMA1 (intron_variant)	39
LEPROTL1 (downstream_gene_variant)	39
GLIPR1 (downstream_gene_variant)	39
GPATCH2L (intron_variant)	39
AC087854.1 (intron_variant)	39
HGS (upstream_gene_variant)	39
TMBIM1 (intron_variant)	39
AC073107.1 (intron_variant)	39
SLC4A10 (intron_variant)	39
PCMTD1 (intron_variant)	39
RBM6 (intron_variant)	39
PGPEP1 (downstream_gene_variant)	39
GTPBP6 (downstream_gene_variant)	39
SRP19 (downstream_gene_variant)	39
LYRM7 (3_prime_UTR_variant)	39
KLC1 (upstream_gene_variant)	39
LINC01550 (non_coding_transcript_exon_variant)	39
BIN2 (intron_variant)	39
SLIRP (intron_variant)	39
LYRM7 (downstream_gene_variant)	39
UBASH3A (intron_variant)	38
CDC42SE2 (intron_variant)	38
EIF3EP1 (non_coding_transcript_exon_variant)	38
EIF2AK2 (downstream_gene_variant)	38
TCP1 (upstream_gene_variant)	38
RPSAP41 (downstream_gene_variant)	38
AC110275.1 (intron_variant)	38
SDAD1P2 (non_coding_transcript_exon_variant)	38
CDK9 (downstream_gene_variant)	38
CAP1P2 (non_coding_transcript_exon_variant)	38
METTL22 (upstream_gene_variant)	38
STAG3L2 (downstream_gene_variant)	38
BCAS4 (downstream_gene_variant)	38
AC079793.1 (intron_variant)	38
ZFAND2A (upstream_gene_variant)	38
KHDC1 (intron_variant)	38
CEP250 (intron_variant)	38
AC004076.1 (intron_variant)	38
ITGAL (downstream_gene_variant)	38
GIT2 (intron_variant)	38
PTCD3 (downstream_gene_variant)	38
NCAPD2 (downstream_gene_variant)	38
ZNF875 (intron_variant)	38
ITGA6 (intron_variant)	38
ERAP1 (downstream_gene_variant)	38
RRP36 (intron_variant)	38
JMJD1C (intron_variant)	38
SPON1 (intron_variant)	38
PFKL (upstream_gene_variant)	38
TPT1-AS1 (intron_variant)	38
RBL2 (intron_variant)	38
AC008695.1 (intron_variant)	38
SLC44A2 (intron_variant)	38
FAM174B (intron_variant)	38
ZRANB3 (intron_variant)	38
PITRM1 (upstream_gene_variant)	38
ELP2 (intron_variant)	38
NAP1L4 (intron_variant)	38
KAT8 (upstream_gene_variant)	38
CSGALNACT1 (intron_variant)	38
AC107976.1 (intron_variant)	38
ACADM (intron_variant)	38
PWAR5 (upstream_gene_variant)	38
ESYT2 (intron_variant)	38
TAF8 (intron_variant)	38
ZNF417 (intron_variant)	38
ARHGEF3 (intron_variant)	38
DCAF16 (downstream_gene_variant)	38
SP110 (downstream_gene_variant)	38
SNORD64 (upstream_gene_variant)	38
RPL7L1 (downstream_gene_variant)	38
NUP88 (upstream_gene_variant)	37
TRAJ34 (upstream_gene_variant)	37
RSF1 (intron_variant)	37
ATM (3_prime_UTR_variant)	37
AFF1 (intron_variant)	37
KANSL1 (downstream_gene_variant)	37
SDHAP2 (downstream_gene_variant)	37
ANAPC16 (3_prime_UTR_variant)	37
HSP90B1 (downstream_gene_variant)	37
COPA (intron_variant)	37
AL359263.1 (non_coding_transcript_exon_variant)	37
AC092718.8 (intron_variant)	37
ASB3 (intron_variant)	37
AC126544.2 (downstream_gene_variant)	37
DOCK9 (intron_variant)	37
MTND1P23 (downstream_gene_variant)	37
ZNF568 (downstream_gene_variant)	37
UBA6-AS1 (intron_variant)	37
ITGA4 (downstream_gene_variant)	37
RBM8A (downstream_gene_variant)	37
PCDH11X (intron_variant)	37
SAMHD1 (intron_variant)	37
MIR2052HG (intron_variant)	37
DOCK2 (intron_variant)	37
LRRC8C (intron_variant)	37
MARK3 (intron_variant)	37
ZNF276 (upstream_gene_variant)	37
AL359921.1 (intron_variant)	37
DLEU1 (intron_variant)	37
IFNAR2 (downstream_gene_variant)	37
ATXN7L1 (intron_variant)	37
SATB1 (intron_variant)	37
RIPOR2 (downstream_gene_variant)	37
AL136304.1 (downstream_gene_variant)	37
EXOC3 (upstream_gene_variant)	37
RRP36 (downstream_gene_variant)	37
UBE3C (downstream_gene_variant)	37
AL354696.2 (intron_variant)	37
USP15 (intron_variant)	37
NUP43 (3_prime_UTR_variant)	37
SF3A3P2 (non_coding_transcript_exon_variant)	37
CROCCP2 (intron_variant)	37
COX4I1 (intron_variant)	37
CYTH1 (intron_variant)	37
SPATA13 (intron_variant)	37
AC009126.1 (intron_variant)	37
AL669831.3 (upstream_gene_variant)	37
RABGAP1L (intron_variant)	37
GVINP1 (non_coding_transcript_exon_variant)	37
LGALS8 (intron_variant)	37
AC001226.2 (upstream_gene_variant)	37
HNRNPKP1 (non_coding_transcript_exon_variant)	37
MTND6P4 (downstream_gene_variant)	37
AC091564.1-GVINP1 (intergenic_region)	37
AL035587.1 (upstream_gene_variant)	37
LIME1 (upstream_gene_variant)	37
STT3A (downstream_gene_variant)	37
MTCO3P12 (upstream_gene_variant)	36
MTND2P28 (downstream_gene_variant)	36
TRAJ33 (upstream_gene_variant)	36
LITAF (downstream_gene_variant)	36
POLR1C (intron_variant)	36
ARHGAP25 (downstream_gene_variant)	36
IL17RA (3_prime_UTR_variant)	36
TRAJ37 (downstream_gene_variant)	36
RAP1B (intron_variant)	36
ARPC2 (non_coding_transcript_exon_variant)	36
LARS1 (downstream_gene_variant)	36
LINC00667 (non_coding_transcript_exon_variant)	36
AC068533.3 (intron_variant)	36
FOXN3 (intron_variant)	36
LINC00667 (downstream_gene_variant)	36
AC003006.1 (intron_variant)	36
BISPR (downstream_gene_variant)	36
EPC1 (intron_variant)	36
GLG1 (intron_variant)	36
FAM107B (intron_variant)	36
TRAJ38 (downstream_gene_variant)	36
AL512844.1 (non_coding_transcript_exon_variant)	36
TRG-AS1 (downstream_gene_variant)	36
TRIM14 (intron_variant)	36
HEATR1 (downstream_gene_variant)	36
PDE7A (intron_variant)	36
HCP5 (intron_variant)	36
AL512844.2 (upstream_gene_variant)	36
TXK (intron_variant)	36
XPOTP1 (non_coding_transcript_exon_variant)	36
LDHB (downstream_gene_variant)	36
BRWD1 (intron_variant)	36
AC001226.2 (intron_variant)	36
AL139300.1 (intron_variant)	36
UBE2I (upstream_gene_variant)	36
SFI1 (intron_variant)	36
AC016074.2 (intron_variant)	36
NUCB2 (downstream_gene_variant)	36
AC073136.1 (non_coding_transcript_exon_variant)	36
OIP5-AS1 (non_coding_transcript_exon_variant)	36
AC008878.3 (intron_variant)	36
PUM1 (intron_variant)	36
NUP88 (downstream_gene_variant)	36
ZNF56 (downstream_gene_variant)	36
PDS5A (intron_variant)	36
ZBTB1 (intron_variant)	36
ROBO2 (intron_variant)	36
AC104532.1 (intron_variant)	36
BIN2P1 (non_coding_transcript_exon_variant)	36
PHF19 (upstream_gene_variant)	36
CD46 (upstream_gene_variant)	36
LEF1 (upstream_gene_variant)	36
SEC24C (downstream_gene_variant)	36
CMAHP (intron_variant)	36
RBBP4 (downstream_gene_variant)	36
AC005520.3 (intron_variant)	36
AC013394.1 (intron_variant)	36
EXOC5P1 (non_coding_transcript_exon_variant)	36
LYRM7 (upstream_gene_variant)	36
CAGE1 (intron_variant)	36
TAF1D (upstream_gene_variant)	36
TRNT1 (intron_variant)	36
STAU1 (intron_variant)	36
RCSD1 (intron_variant)	36
LINC02210 (upstream_gene_variant)	36
ZNF276 (downstream_gene_variant)	36
BACH2 (intron_variant)	36
SFXN1 (downstream_gene_variant)	36
PGPEP1 (3_prime_UTR_variant)	36
RHOH (intron_variant)	36
CD226 (intron_variant)	36
CERK (intron_variant)	36
LINC02210 (downstream_gene_variant)	35
HECTD1 (downstream_gene_variant)	35
EDARADD (intron_variant)	35
EDARADD (downstream_gene_variant)	35
MCUB (intron_variant)	35
PARP4 (intron_variant)	35
ZNF544 (downstream_gene_variant)	35
TMPO (downstream_gene_variant)	35
AC138696.1 (intron_variant)	35
SPTAN1 (downstream_gene_variant)	35
TIAM1 (intron_variant)	35
CFLAR (3_prime_UTR_variant)	35
AC006369.1 (intron_variant)	35
AP000357.2 (downstream_gene_variant)	35
RB1 (intron_variant)	35
ETS1 (intron_variant)	35
MPRIP (intron_variant)	35
SLC9A9 (intron_variant)	35
CNOT1 (downstream_gene_variant)	35
ACSF3 (intron_variant)	35
ZGPAT (intron_variant)	35
AL359706.1 (intron_variant)	35
SLFN5 (intron_variant)	35
PPP2R5C (intron_variant)	35
